Geography,Name,Level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NYC,New York City,City,"13,603","14,289","15,024","17,192","19,052","19,688","24,982","25,835","23,356","23,320","22,839","17,148","9,856","14,668","13,152","15,550","23,417","25,712","28,626","24,566"
BX,The Bronx,Boro,"1,390","1,577","1,548","1,438","3,146","2,943","4,226","4,417","4,142","2,903","4,174","3,355","1,894","1,499","1,778","2,578","2,467","2,740","4,760","4,332"
BK,Brooklyn,Boro,"1,611","2,465","2,384","4,653","4,598","4,911","6,129","6,931","7,168","7,512","7,256","4,765","3,627","4,564","4,371","5,608","8,940","11,289","9,428","10,275"
MN,Manhattan,Boro,"5,057","5,859","6,866","4,718","6,269","5,223","7,028","7,584","5,569","6,901","6,977","5,734","1,112","3,862","3,430","3,700","7,308","5,727","7,260","4,660"
QN,Queens,Boro,"2,181","1,594","2,380","2,962","2,779","4,692","5,743","5,469","5,464","5,130","3,657","2,689","2,631","4,144","3,071","3,122","3,456","5,279","6,317","4,654"
SI,Staten Island,Boro,"3,364","2,794","1,846","3,421","2,260","1,919","1,856","1,434","1,013",874,775,605,592,599,502,542,"1,246",677,861,645
BX 01,Mott Haven/Melrose,Community District,124,371,308,202,297,395,530,489,254,217,550,838,476,16,289,314,278,301,"1,106",535
BX 02,Hunts Point/Longwood,Community District,68,0,112,54,109,169,549,215,458,282,220,309,15,122,0,0,141,72,54,397
BX 03,Morrisania/Crotona,Community District,90,391,129,142,330,556,637,556,"1,013",230,"1,315",744,209,615,271,418,644,613,480,863
BX 04,Highbridge/Concourse,Community District,331,0,37,244,586,436,293,808,359,59,423,49,152,44,303,85,131,356,551,276
BX 05,Fordham/University Heights,Community District,54,0,136,112,130,85,264,286,96,425,295,197,152,0,312,205,19,222,224,185
BX 06,Belmont/East Tremont,Community District,208,109,109,52,407,297,486,441,701,276,127,382,154,23,154,413,202,332,"1,125",886
BX 07,Kingsbridge Heights/Bedford,Community District,0,2,3,0,50,85,170,182,98,148,534,62,172,124,154,210,157,248,750,236
BX 08,Riverdale/Fieldston,Community District,73,67,6,27,155,200,95,95,257,136,27,30,295,76,6,68,206,137,102,174
BX 09,Parkchester/Soundview,Community District,27,129,281,130,308,84,262,328,250,329,204,137,51,79,33,320,253,116,50,554
BX 10,Throgs Neck/Co-op City,Community District,88,188,196,129,270,295,318,290,182,183,128,214,24,102,26,254,56,50,56,54
BX 11,Morris Park/Bronxdale,Community District,175,100,80,47,260,54,131,201,146,215,73,44,32,35,22,26,16,204,34,70
BX 12,Williamsbridge/Baychester,Community District,157,220,151,299,246,332,491,526,328,403,278,349,196,263,208,265,364,89,228,102
BK 01,Greenpoint/Williamsburg,Community District,114,355,449,755,780,710,942,844,"1,578","1,304","2,487","1,232",980,"1,618","1,132","1,364","1,572","2,311","2,472","1,984"
BK 02,Fort Greene/Brooklyn Heights,Community District,86,396,14,326,163,319,488,"1,174",594,"2,126","1,077",618,427,542,"1,253","1,740","2,133","2,661","1,478","1,353"
BK 03,Bedford Stuyvesant,Community District,94,237,71,565,664,607,816,875,595,597,344,535,454,385,280,514,928,808,856,893
BK 04,Bushwick,Community District,4,143,203,381,382,602,568,482,473,331,450,273,157,260,199,306,376,427,"1,502","1,208"
BK 05,East New York/Starrett City,Community District,485,341,445,449,415,483,679,742,534,385,414,354,357,228,41,471,416,564,104,529
BK 06,Park Slope/Carroll Gardens,Community District,34,43,174,145,376,196,180,67,490,330,458,320,76,241,120,92,950,904,229,67
BK 07,Sunset Park,Community District,55,93,7,147,90,115,130,263,508,151,244,264,60,77,257,122,22,96,160,84
BK 08,Crown Heights/Prospect Heights,Community District,17,83,79,299,381,150,310,223,393,358,197,161,206,82,413,190,651,730,517,288
BK 09,South Crown Heights/Lefferts Gardens,Community District,40,14,41,19,54,107,263,72,103,183,39,32,224,215,45,89,830,448,388,235
BK 10,Bay Ridge/Dyker Heights,Community District,90,102,141,89,114,132,99,93,64,36,23,22,37,13,16,55,26,27,12,30
BK 11,Bensonhurst,Community District,86,81,132,143,225,147,256,282,348,203,218,82,51,80,43,55,78,71,195,142
BK 12,Borough Park,Community District,47,120,73,309,73,156,227,166,204,266,271,209,86,96,121,167,141,199,174,209
BK 13,Coney Island,Community District,39,139,141,386,213,262,161,236,150,59,172,73,120,349,178,75,108,99,118,"1,327"
BK 14,Flatbush/Midwood,Community District,24,9,44,32,67,25,74,64,181,75,296,229,6,50,17,50,103,652,347,706
BK 15,Sheepshead Bay,Community District,88,89,114,71,146,243,209,321,303,231,120,118,77,119,51,119,117,527,229,140
BK 16,Brownsville,Community District,92,13,49,340,165,399,313,355,268,665,311,171,220,185,114,44,277,542,218,111
BK 17,East Flatbush,Community District,82,51,17,18,31,40,176,332,212,130,80,21,20,18,53,146,0,213,408,938
BK 18,Flatlands/Canarsie,Community District,134,156,190,163,259,218,238,340,170,82,55,51,69,6,38,9,212,10,21,25
MN 01,Financial District,Community District,580,324,618,336,817,981,859,694,"1,051",751,438,"1,334",46,171,33,51,798,0,819,167
MN 02,Greenwich Village/Soho,Community District,19,63,257,16,259,143,193,237,117,180,242,15,10,33,11,240,241,256,115,239
MN 03,Lower East Side/Chinatown,Community District,667,186,885,213,216,516,640,704,98,94,447,93,111,66,398,65,254,748,"1,550",415
MN 04,Clinton/Chelsea,Community District,"1,021","1,668","1,918","1,610",606,738,"1,669","1,187",812,"2,423","1,838","1,996",326,"2,288",701,"1,415","1,731","2,124","2,227",718
MN 05,Midtown,Community District,594,510,444,344,659,364,655,"1,982",673,144,549,362,9,649,523,536,678,717,"1,033",460
MN 06,Stuyvesant Town/Turtle Bay,Community District,399,"1,122",191,218,650,357,180,584,538,142,212,161,0,28,295,214,"1,443",429,674,301
MN 07,Upper West Side,Community District,921,918,445,"1,217",692,399,566,"1,060",271,"1,104","1,285",77,0,181,354,515,899,401,129,"1,371"
MN 08,Upper East Side,Community District,554,624,434,398,583,400,948,377,748,609,165,213,3,98,8,327,376,504,161,171
MN 09,Morningside Heights/Hamilton,Community District,0,0,163,13,77,94,322,99,298,44,177,86,12,12,144,0,473,82,2,100
MN 10,Central Harlem,Community District,87,385,396,188,448,791,232,433,714,560,603,609,25,50,359,133,248,113,132,277
MN 11,East Harlem,Community District,210,59,998,165,"1,254",395,764,119,224,789,981,650,536,270,527,136,105,318,315,343
MN 12,Washington Heights/Inwood,Community District,0,0,117,0,6,0,0,108,25,61,40,138,0,16,77,68,62,35,103,104
QN 01,Astoria,Community District,193,162,260,116,78,431,397,447,516,624,749,425,408,462,568,658,869,"1,110","1,410",972
QN 02,Woodside/Sunnyside,Community District,66,103,70,481,85,85,754,"1,002",604,606,272,223,807,"2,172","1,063",981,"1,172","2,829","2,435",879
QN 03,Jackson Heights,Community District,72,90,190,200,185,321,336,326,420,183,204,194,165,185,76,51,85,66,83,191
QN 04,Elmhurst/Corona,Community District,138,114,201,316,219,335,416,335,335,340,276,229,235,75,127,104,166,136,234,344
QN 05,Ridgewood/Maspeth,Community District,140,91,76,109,110,146,268,217,236,164,184,48,21,39,17,88,56,171,86,169
